[0.000000] (-) TimerEvent: {}
[0.000288] (dropbear) JobQueued: {'identifier': 'dropbear', 'dependencies': OrderedDict()}
[0.546097] (dropbear) JobProgress: {'identifier': 'dropbear', 'progress': 'install'}
[0.549699] (dropbear) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/gateway/dropbear-humanoid-robot/dropbear/build/dropbear'], 'cwd': '/home/gateway/dropbear-humanoid-robot/dropbear/build/dropbear', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('CONDA_PROMPT_MODIFIER', '(ros)'), ('USER', 'gateway'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('HOME', '/home/gateway'), ('CONDA_SHLVL', '2'), ('OLDPWD', '/home/gateway/dropbear-humanoid-robot'), ('NVM_BIN', '/home/gateway/.nvm/versions/node/v20.16.0/bin'), ('NVM_INC', '/home/gateway/.nvm/versions/node/v20.16.0/include/node'), ('ROS_PYTHON_VERSION', '3'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('_CE_M', ''), ('WSL_DISTRO_NAME', 'Ubuntu'), ('NVM_DIR', '/home/gateway/.nvm'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/gateway/dropbear-humanoid-robot/dropbear/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'gateway'), ('NAME', 'Evolve'), ('WSL_INTEROP', '/run/WSL/488_interop'), ('PULSE_SERVER', 'unix:/mnt/wslg/PulseServer'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm-256color'), ('_CE_CONDA', ''), ('ROS_LOCALHOST_ONLY', '0'), ('PATH', '/home/gateway/.local/bin:/home/gateway/.grit/bin:/opt/ros/humble/bin:/home/gateway/.nvm/versions/node/v20.16.0/bin:/home/gateway/miniconda3/envs/ros/bin:/home/gateway/miniconda3/condabin:/home/gateway/.cargo/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files/WindowsApps/MicrosoftCorporationII.WindowsSubsystemForLinux_2.3.26.0_x64__8wekyb3d8bbwe:/mnt/p/Oculus/Support/oculus-runtime:/mnt/c/Program Files/Common Files/Oracle/Java/javapath:/mnt/c/Program Files/Microsoft MPI/Bin:/mnt/c/Program Files/NVIDIA GPU Computing Toolkit/CUDA/v12.3/bin:/mnt/c/Program Files/NVIDIA GPU Computing Toolkit/CUDA/v12.3/libnvvp:/mnt/c/Windows/system32:/mnt/c/Windows:/mnt/c/Windows/System32/Wbem:/mnt/c/Windows/System32/WindowsPowerShell/v1.0:/mnt/c/Windows/System32/OpenSSH:/mnt/c/Program Files (x86)/NVIDIA Corporation/PhysX/Common:/mnt/c/Program Files/NVIDIA Corporation/NVIDIA NvDLISR:/mnt/c/Users/ppare/AppData/Roaming/nvm:/mnt/c/Program Files/nodejs:/mnt/c/Program Files (x86)/Windows Kits/8.1/Windows Performance Toolkit:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/CMake/bin:/mnt/c/Program Files/NVIDIA Corporation/Nsight Compute 2023.3.1:/mnt/c/ProgramData/chocolatey/bin:/mnt/c/Users/ppare/AppData/Local/NVIDIA/ChatWithRTX/env_nvd_rag/Lib/site-packages/torch/lib:/mnt/c/Users/ppare/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Program Files (x86)/ZeroTier/One:/mnt/c/Program Files/PuTTY:/mnt/p/Docker/resources/bin:/mnt/c/Program Files/PostgreSQL/16/bin:/mnt/c/Program Files/PostgreSQL/16/lib:/mnt/c/Program Files/dotnet:/mnt/p/Program Files/Meld:/mnt/c/Program Files (x86)/Eclipse/Sumo/bin:/mnt/c/Program Files (x86)/Eclipse/Sumo/tools:/mnt/c/Program Files/Amazon/AWSCLIV2:/mnt/c/Users/ppare/.cargo/bin:/mnt/c/Users/ppare/AppData/Local/Programs/Python/Python312/Scripts:/mnt/c/Users/ppare/AppData/Local/Programs/Python/Python312:/mnt/c/Users/ppare/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/ppare/AppData/Roaming/nvm:/mnt/c/Program Files/nodejs:/mnt/c/Users/ppare/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/Users/ppare/AppData/Local/Programs/Ollama:/mnt/c/Users/ppare/AppData/Local/GitHubDesktop/bin:/mnt/c/ProgramData/chocoportable/bin:/mnt/c/Users/ppare/.local/bin:/mnt/c/ProgramData/MiniConda/Library/bin:/mnt/c/ProgramData/MiniConda/Scripts:/mnt/c/ProgramData/MiniConda/condabin:/mnt/c/Program Files/ffmpeg/bin:/mnt/c/Users/ppare/AppData/Local/Muse Hub/lib:/snap/bin'), ('XDG_RUNTIME_DIR', '/run/user/1000/'), ('DISPLAY', ':0'), ('LANG', 'en_US.UTF-8'), ('CONDA_PREFIX_1', '/home/gateway/miniconda3'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('AMENT_PREFIX_PATH', '/home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear:/opt/ros/humble'), ('CONDA_PYTHON_EXE', '/home/gateway/miniconda3/bin/python'), ('SHELL', '/bin/bash'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('CONDA_DEFAULT_ENV', 'ros'), ('PWD', '/home/gateway/dropbear-humanoid-robot/dropbear/build/dropbear'), ('CONDA_EXE', '/home/gateway/miniconda3/bin/conda'), ('NVM_CD_FLAGS', ''), ('XDG_DATA_DIRS', '/usr/local/share:/usr/share:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('CONDA_PREFIX', '/home/gateway/miniconda3/envs/ros'), ('COLCON', '1'), ('WSL2_GUI_APPS_ENABLED', '1'), ('HOSTTYPE', 'x86_64'), ('CMAKE_PREFIX_PATH', '/home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear:/opt/ros/humble'), ('WSLENV', '')]), 'shell': False}
[0.554366] (dropbear) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.554969] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/lib/dropbear/hand_trajectory_publisher.py\n'}
[0.555013] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/lib/dropbear/leg_trajectory_publisher.py\n'}
[0.555039] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/lib/dropbear/pelvic_girdle_joints_trajectory_publisher.py\n'}
[0.555063] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/launch\n'}
[0.555086] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/launch/dropbear_controllers.launch.py\n'}
[0.555109] (dropbear) StdoutLine: {'line': b'-- Installing: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/launch/dropbear_detailed_gazebo.launch.py\n'}
[0.555639] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/launch/dropbear_detailed_display.launch.py\n'}
[0.555943] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes\n'}
[0.555981] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery\n'}
[0.556007] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/naval-strap_1.stl\n'}
[0.556030] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/Power_Converter_1.stl\n'}
[0.556053] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/battery-board-adapter_1.stl\n'}
[0.556079] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/naval_1.stl\n'}
[0.556152] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/5v-module__1__1.stl\n'}
[0.556224] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/battery__1___1__1.stl\n'}
[0.556308] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/battery-frame-top_1.stl\n'}
[0.556380] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/mpu1__1__1.stl\n'}
[0.556453] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__8__1.stl\n'}
[0.556518] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__9__1.stl\n'}
[0.556546] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__2__1.stl\n'}
[0.556583] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/base_link.stl\n'}
[0.556644] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/battery-frame-bottom_1.stl\n'}
[0.556716] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__5__1.stl\n'}
[0.556771] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/esp1_1.stl\n'}
[0.556801] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large_1.stl\n'}
[0.556860] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/Power_Converter__2__1.stl\n'}
[0.556931] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/24ah-adapter_1.stl\n'}
[0.557004] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__1__1.stl\n'}
[0.557076] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__7__1.stl\n'}
[0.557492] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__4__1.stl\n'}
[0.557937] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/mcp1_1.stl\n'}
[0.558016] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/5v-module_1.stl\n'}
[0.558064] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__6__1.stl\n'}
[0.558089] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/battery/power-module-large__3__1.stl\n'}
[0.558112] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm\n'}
[0.558275] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/forearm-elbow-motor-bracket-inner_1.stl\n'}
[0.558314] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/top-bracket-servo-strap_1.stl\n'}
[0.558340] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/MG995__4__1.stl\n'}
[0.558420] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/RMD-X8-Pro_MIR8_MIR1__4__1.stl\n'}
[0.558447] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/MG995__6__1.stl\n'}
[0.558470] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/fore-arm-bicep-motor-attatch_1.stl\n'}
[0.558497] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/arm-cuff-bicep-bracket_1.stl\n'}
[0.558519] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/bicep-rear-motor-adapter_1.stl\n'}
[0.558541] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/shoulder-ex-al-interface__2__1.stl\n'}
[0.558563] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/6mm-bearing__2__1.stl\n'}
[0.558585] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/6mm-bearing__4__1.stl\n'}
[0.558605] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/skateboard-bearing__7__1.stl\n'}
[0.558626] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/6mm-bearing__6__1.stl\n'}
[0.558665] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/MG995__2__1.stl\n'}
[0.558693] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/6mm-bearing__3__1.stl\n'}
[0.558716] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/yaw-waist-adapter-motor-exal_MIR1_1.stl\n'}
[0.558804] (dropbear) StdoutLine: {'line': b'-- Up-to-date: /home/gateway/dropbear-humanoid-robot/dropbear/install/dropbear/share/dropbear/meshes/rightarm/RMD-X8-Pro_MIR8_MIR1__2__1.stl\n'}
